id_Cliente;recency;frequency;monetary;recencyPoints;frecuencyPoints;monetaryPoints
5;368;1;88;"4";"1";"1"
8;821;1;108;"2";"1";"1"
113;1054;1;19,1;"1";"1";"1"
229;1052;1;38;"1";"1";"1"
163;1029;1;28,6;"1";"1";"1"
13;656;1;72,7;"2";"1";"1"
133;1008;1;239,3;"1";"1";"1"
184;981;1;32;"1";"1";"1"
110;962;1;425,9;"1";"1";"1"
21;470;1;2493,6;"3";"1";"1"
46;903;1;72,78;"1";"1";"1"
73;901;1;104,1;"1";"1";"1"
28;563;1;14,2;"3";"1";"1"
74;886;1;380,8;"1";"1";"1"
165;879;1;329,1;"1";"1";"1"
33;159;1;97,5;"5";"1";"1"
97;809;1;38,2;"2";"1";"1"
20;1090;1;60,4;"1";"1";"1"
18;933;1;188,5;"1";"1";"1"
41;1066;1;19;"1";"1";"1"
116;681;1;319,6;"2";"1";"1"
57;248;1;15;"4";"1";"1"
60;282;1;16,6;"4";"1";"1"
162;623;1;148,35;"3";"1";"1"
64;989;1;19;"1";"1";"1"
67;102;1;77,2;"5";"1";"1"
72;380;1;161;"4";"1";"1"
79;303;1;171;"4";"1";"1"
85;212;1;703,5;"5";"1";"1"
125;410;1;66,8;"4";"1";"1"
114;408;1;110,4;"4";"1";"1"
179;351;1;19,1;"4";"1";"1"
98;878;1;99,6;"1";"1";"1"
190;333;1;59,9;"4";"1";"1"
107;613;1;51,7;"3";"1";"1"
122;43;1;19,7;"5";"1";"1"
124;1013;1;9,5;"1";"1";"1"
130;94;1;2063,9;"5";"1";"1"
222;135;1;18,8;"5";"1";"1"
151;170;1;19;"5";"1";"1"
197;25;1;199,2;"5";"1";"1"
177;1023;1;266,1;"1";"1";"1"
186;355;1;59,8;"4";"1";"1"
194;611;1;30,45;"3";"1";"1"
215;436;1;19;"4";"1";"1"
168;684;1;6;"2";"1";"1"
100;86;1;44,8;"5";"1";"1"
82;1040;1;95,85;"1";"1";"1"
101;968;1;94,8;"1";"1";"1"
158;896;1;106,75;"1";"1";"1"
16;294;1;37,5;"4";"1";"1"
76;1044;1;188;"1";"1";"1"
119;861;1;594,7;"2";"1";"1"
137;799;1;118,6;"2";"1";"1"
71;763;1;46,9;"2";"1";"1"
176;206;1;480;"5";"1";"1"
214;1075;1;15;"1";"1";"1"
138;718;1;11,2;"2";"1";"1"
230;543;1;30;"3";"1";"1"
105;339;1;50,6;"4";"1";"1"
210;324;1;218,4;"4";"1";"1"
9;269;1;96,8;"4";"1";"1"
142;194;1;11,2;"5";"1";"1"
68;86;1;39,2;"5";"1";"1"
58;970;1;18,4;"1";"1";"1"
219;561;1;70;"3";"1";"1"
128;877;1;52,5;"1";"1";"1"
62;686;1;48,3;"2";"1";"1"
84;470;1;112,8;"3";"1";"1"
19;257;1;18;"4";"1";"1"
169;1088;1;102,4;"1";"1";"1"
209;1087;1;3,4;"1";"1";"1"
129;1073;1;50,1;"1";"1";"1"
69;1073;1;34,85;"1";"1";"1"
187;984;1;95;"1";"1";"1"
231;974;1;19,85;"1";"1";"1"
75;955;1;837,4;"1";"1";"1"
189;910;1;275;"1";"1";"1"
212;843;1;17,8;"2";"1";"1"
167;831;1;75,45;"2";"1";"1"
83;815;1;62,6;"2";"1";"1"
233;684;1;53,85;"2";"1";"1"
238;674;1;1505,9;"2";"1";"1"
24;645;1;58,25;"3";"1";"1"
96;596;1;258,95;"3";"1";"1"
104;569;1;32,2;"3";"1";"1"
175;528;1;35,55;"3";"1";"1"
132;492;1;32,55;"3";"1";"1"
152;455;1;32;"3";"1";"1"
70;357;1;37,3;"4";"1";"1"
136;262;1;520,1;"4";"1";"1"
225;235;1;73,6;"4";"1";"1"
86;190;1;71,2;"5";"1";"1"
12;134;1;56,1;"5";"1";"1"
102;85;1;50,25;"5";"1";"1"
208;583;1;156,2;"3";"1";"1"
89;1013;1;304,2;"1";"1";"1"
192;1006;1;84;"1";"1";"1"
53;284;1;140;"4";"1";"1"
220;70;1;102,4;"5";"1";"1"
54;375;1;10,8;"4";"1";"1"
191;1027;1;314,1;"1";"1";"1"
174;920;1;34,4;"1";"1";"1"
121;242;1;50,1;"4";"1";"1"
3;382;1;49,4;"4";"1";"1"
223;330;1;197,6;"4";"1";"1"
155;95;1;58;"5";"1";"1"
23;738;1;18;"2";"1";"1"
27;620;1;11,3;"3";"1";"1"
109;695;1;150;"2";"1";"1"
200;1062;1;16;"1";"1";"1"
147;912;1;40;"1";"1";"1"
218;30;1;18,6;"5";"1";"1"
30;164;1;20;"5";"1";"1"
173;897;1;111,8;"1";"1";"1"
207;1025;1;65;"1";"1";"1"
150;949;1;130;"1";"1";"1"
232;542;1;64,5;"3";"1";"1"
17;228;1;129,2;"4";"1";"1"
90;751;1;16,5;"2";"1";"1"
35;378;1;58,1;"4";"1";"1"
199;1090;1;16,5;"1";"1";"1"
44;233;1;33;"4";"1";"1"
108;680;1;78,5;"2";"1";"1"
211;2;1;7616,4;"5";"1";"2"
131;1060;2;1590,1;"1";"1";"1"
22;1064;2;92,5;"1";"1";"1"
2;1067;2;142,8;"1";"1";"1"
78;1066;2;1697,5;"1";"1";"1"
203;1020;3;226,2;"1";"1";"1"
185;1050;4;3190,65;"1";"1";"1"
226;21;57;36660,1;"5";"5";"5"
63;143;4;147,6;"5";"1";"1"
103;801;5;7381,35;"2";"1";"2"
38;628;7;588,9;"3";"1";"1"
66;302;18;3431,8;"4";"2";"1"
198;964;2;438,35;"1";"1";"1"
240;15;3;182,15;"5";"1";"1"
149;953;2;121,1;"1";"1";"1"
202;253;11;3822,85;"4";"1";"1"
156;301;3;633,7;"4";"1";"1"
25;694;5;1415,75;"2";"1";"1"
241;214;2;244,6;"5";"1";"1"
32;336;4;133,2;"4";"1";"1"
239;332;5;468,4;"4";"1";"1"
34;331;4;553,15;"4";"1";"1"
40;697;5;87,8;"2";"1";"1"
242;201;20;1973,95;"5";"2";"1"
87;718;2;1200,5;"2";"1";"1"
15;901;2;191,8;"1";"1";"1"
31;561;2;221,2;"3";"1";"1"
36;676;3;1078,1;"2";"1";"1"
7;490;2;44,05;"3";"1";"1"
47;269;2;79,45;"4";"1";"1"
49;652;3;352,9;"3";"1";"1"
48;368;3;67,8;"4";"1";"1"
50;10;2;442,2;"5";"1";"1"
51;89;3;2032,4;"5";"1";"1"
216;667;2;152,25;"2";"1";"1"
99;568;2;28,5;"3";"1";"1"
65;87;2;449,4;"5";"1";"1"
61;299;2;1144;"4";"1";"1"
195;187;16;11022,2;"5";"2";"2"
221;11;3;108,7;"5";"1";"1"
227;171;9;569,6;"5";"1";"1"
154;23;4;1832,1;"5";"1";"1"
80;52;24;2044,6;"5";"3";"1"
237;481;2;41,8;"3";"1";"1"
95;403;3;568,95;"4";"1";"1"
81;315;2;2683,4;"4";"1";"1"
118;315;3;906;"4";"1";"1"
94;43;3;684,5;"5";"1";"1"
193;331;3;557,2;"4";"1";"1"
112;87;2;43,5;"5";"1";"1"
141;296;2;1023,8;"4";"1";"1"
159;163;3;512,6;"5";"1";"1"
120;4;16;753,9;"5";"2";"1"
204;224;2;86,2;"4";"1";"1"
123;1074;2;37,2;"1";"1";"1"
196;22;7;1767,25;"5";"1";"1"
166;171;2;381,9;"5";"1";"1"
134;110;3;1093,7;"5";"1";"1"
135;0;5;440,3;"5";"1";"1"
139;36;3;445;"5";"1";"1"
143;184;2;213,55;"5";"1";"1"
157;595;2;166,8;"3";"1";"1"
181;896;2;374,95;"1";"1";"1"
164;150;2;28,5;"5";"1";"1"
170;70;4;2483,4;"5";"1";"1"
183;681;2;49,6;"2";"1";"1"
188;1015;2;64,2;"1";"1";"1"
115;100;3;440,45;"5";"1";"1"
217;581;2;105,4;"3";"1";"1"
52;199;2;25,6;"5";"1";"1"
1;306;3;92,2;"4";"1";"1"
111;974;2;778;"1";"1";"1"
10;877;3;261,3;"1";"1";"1"
140;519;2;86,6;"3";"1";"1"
182;252;2;456;"4";"1";"1"
160;360;2;36,2;"4";"1";"1"
92;77;6;148,15;"5";"1";"1"
201;61;2;35,6;"5";"1";"1"
59;446;3;50,4;"3";"1";"1"
234;233;2;124,3;"4";"1";"1"
171;51;4;270;"5";"1";"1"
127;521;6;737,2;"3";"1";"1"
43;642;2;18,8;"3";"1";"1"
224;376;4;232,1;"4";"1";"1"
144;530;2;78;"3";"1";"1"
145;169;17;6643,83;"5";"2";"1"
39;273;2;1854,9;"4";"1";"1"
213;57;3;2025,8;"5";"1";"1"
37;158;5;342,2;"5";"1";"1"
4;1055;2;1193,9;"1";"1";"1"
178;393;3;156,45;"4";"1";"1"
172;367;2;1008,8;"4";"1";"1"
106;1008;2;70,05;"1";"1";"1"
91;977;2;159,75;"1";"1";"1"
56;884;2;356,15;"1";"1";"1"
26;373;4;151,25;"4";"1";"1"
93;179;2;283,6;"5";"1";"1"
180;568;2;742,28;"3";"1";"1"
206;705;2;235,4;"2";"1";"1"
11;563;5;1203,75;"3";"1";"1"
77;548;2;180,6;"3";"1";"1"
153;367;8;11540,5;"4";"1";"2"
205;500;4;1610,2;"3";"1";"1"
228;407;2;1615,1;"4";"1";"1"
148;66;4;691,4;"5";"1";"1"
42;183;2;219,25;"5";"1";"1"
6;47;2;102,4;"5";"1";"1"
235;32;7;1965,6;"5";"1";"1"
161;23;4;233,3;"5";"1";"1"
236;2;2;163;"5";"1";"1"
45;754;3;824,55;"2";"1";"1"
29;218;5;969,7;"5";"1";"1"
146;54;2;155,3;"5";"1";"1"
126;1054;2;216,05;"1";"1";"1"
88;1032;2;54,5;"1";"1";"1"
55;89;3;380,4;"5";"1";"1"
117;389;2;23;"4";"1";"1"
14;537;2;130;"3";"1";"1"
